,TRIBUNAIS,UBER,TAXIS99,IFOOD,LOGGI,RAPPI
0,TRT1,316.0,2.0,58.0,4.0,7.0
1,TRT2,1503.0,84.0,278.0,100.0,378.0
2,TRT3,714.0,289.0,54.0,33.0,33.0
3,TRT4,113.0,0.0,7.0,2.0,2.0
4,TRT5,39.0,22.0,2.0,1.0,0.0
5,TRT6,58.0,0.0,26.0,0.0,6.0
6,TRT7,194.0,11.0,42.0,3.0,20.0
7,TRT8,111.0,129.0,42.0,0.0,5.0
8,TRT9,205.0,1.0,44.0,1.0,0.0
9,TRT10,265.0,3.0,81.0,88.0,13.0
10,TRT11,62.0,1.0,7.0,0.0,1.0
11,TRT12,193.0,6.0,12.0,0.0,1.0
12,TRT13,20.0,0.0,4.0,0.0,41.0
13,TRT14,20.0,0.0,4.0,0.0,0.0
14,TRT15,81.0,1.0,68.0,2.0,3.0
15,TRT16,2.0,0.0,0.0,0.0,0.0
16,TRT17,143.0,0.0,37.0,0.0,1.0
17,TRT18,98.0,1.0,11.0,1.0,5.0
18,TRT19,16.0,0.0,14.0,0.0,0.0
19,TRT20,,,,,
20,TRT21,66.0,0.0,23.0,0.0,6.0
21,TRT22,33.0,0.0,25.0,0.0,0.0
22,TRT23,34.0,0.0,11.0,1.0,8.0
23,TRT24,51.0,0.0,15.0,1.0,0.0
