,TRIBUNAIS,UBER,TAXIS99,IFOOD,LOGGI,RAPPI
0,TRT1,0.0,0.0,0.0,0.0,0.0
1,TRT2,247.0,251.0,27.0,47.0,63.0
2,TRT3,521.0,770.0,25.0,18.0,23.0
3,TRT4,82.0,52.0,6.0,0.0,11.0
4,TRT5,27.0,19.0,17.0,4.0,4.0
5,TRT6,22.0,15.0,9.0,1.0,6.0
6,TRT7,32.0,17.0,2.0,1.0,14.0
7,TRT8,44.0,83.0,0.0,0.0,0.0
8,TRT9,,,,,
9,TRT10,33.0,20.0,5.0,11.0,1.0
10,TRT11,7.0,13.0,0.0,0.0,0.0
11,TRT12,33.0,28.0,1.0,0.0,0.0
12,TRT13,30.0,48.0,0.0,0.0,60.0
13,TRT14,,,,,
14,TRT15,124.0,132.0,61.0,6.0,8.0
15,TRT16,5.0,7.0,0.0,0.0,0.0
16,TRT17,19.0,13.0,8.0,0.0,0.0
17,TRT18,48.0,25.0,0.0,0.0,2.0
18,TRT19,,,,,
19,TRT20,,,,,
20,TRT21,19.0,8.0,0.0,0.0,0.0
21,TRT22,1.0,1.0,0.0,0.0,0.0
22,TRT23,5.0,7.0,0.0,0.0,0.0
23,TRT24,2.0,8.0,5.0,0.0,0.0
